source_id,source_group,ok,status_code,evidence_count,robots_blocked,error,url
numerospam_mobile_600,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/600,https://numerospam.es/moviles/es/600
numerospam_mobile_601,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/601,https://numerospam.es/moviles/es/601
numerospam_mobile_602,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/602,https://numerospam.es/moviles/es/602
numerospam_mobile_603,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/603,https://numerospam.es/moviles/es/603
numerospam_mobile_604,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/604,https://numerospam.es/moviles/es/604
numerospam_mobile_605,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/605,https://numerospam.es/moviles/es/605
numerospam_mobile_606,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/606,https://numerospam.es/moviles/es/606
numerospam_mobile_607,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/607,https://numerospam.es/moviles/es/607
numerospam_mobile_608,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/608,https://numerospam.es/moviles/es/608
numerospam_mobile_609,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/609,https://numerospam.es/moviles/es/609
numerospam_mobile_610,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/610,https://numerospam.es/moviles/es/610
numerospam_mobile_611,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/611,https://numerospam.es/moviles/es/611
numerospam_mobile_612,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/612,https://numerospam.es/moviles/es/612
numerospam_mobile_613,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/613,https://numerospam.es/moviles/es/613
numerospam_mobile_615,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/615,https://numerospam.es/moviles/es/615
numerospam_mobile_616,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/616,https://numerospam.es/moviles/es/616
numerospam_mobile_617,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/617,https://numerospam.es/moviles/es/617
numerospam_mobile_618,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/618,https://numerospam.es/moviles/es/618
numerospam_mobile_619,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/619,https://numerospam.es/moviles/es/619
numerospam_mobile_620,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/620,https://numerospam.es/moviles/es/620
numerospam_mobile_621,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/621,https://numerospam.es/moviles/es/621
numerospam_mobile_622,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/622,https://numerospam.es/moviles/es/622
numerospam_mobile_623,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/623,https://numerospam.es/moviles/es/623
numerospam_mobile_624,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/624,https://numerospam.es/moviles/es/624
