phone,score,status,first_seen,last_seen,age_days,seen_runs,independent_spam_groups,safe_groups,best_evidence,max_source_weight,reasons
919896017,99.8,BLOCK,2026-08-31T21:32:23+00:00,2026-09-14T20:22:20+00:00,7,15,2,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=2 -> +12.0 | seen_runs=15 -> +12.0 | age_days=7 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
919970259,99.8,BLOCK,2026-09-02T19:27:12+00:00,2026-09-15T19:45:50+00:00,6,14,2,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=2 -> +12.0 | seen_runs=14 -> +12.0 | age_days=6 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
865449580,96.8,BLOCK,2026-08-26T17:34:45+00:00,2026-09-11T19:13:24+00:00,10,17,2,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=2 -> +12.0 | seen_runs=17 -> +12.0 | age_days=10 -> recency +5.0, stale 0.0 | safe_groups=0 -> 0.0"
920501958,96.8,BLOCK,2026-08-25T20:48:08+00:00,2026-09-09T19:21:13+00:00,12,16,2,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=2 -> +12.0 | seen_runs=16 -> +12.0 | age_days=12 -> recency +5.0, stale 0.0 | safe_groups=0 -> 0.0"
967831703,96.8,BLOCK,2026-08-25T20:48:08+00:00,2026-09-11T19:13:24+00:00,10,18,2,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=2 -> +12.0 | seen_runs=18 -> +12.0 | age_days=10 -> recency +5.0, stale 0.0 | safe_groups=0 -> 0.0"
627382938,93.9,BLOCK,2026-09-16T19:37:49+00:00,2026-09-21T20:29:27+00:00,0,6,2,0,explicit_spam,0.82,"max_source_weight=0.82 -> 36.9 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=2 -> +12.0 | seen_runs=6 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
604060886,87.8,BLOCK,2026-08-25T20:48:08+00:00,2026-09-17T19:47:48+00:00,4,11,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=11 -> +12.0 | age_days=4 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
606549096,87.8,BLOCK,2026-09-04T19:03:03+00:00,2026-09-21T20:29:27+00:00,0,6,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=6 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
695703892,87.8,BLOCK,2026-09-02T19:27:12+00:00,2026-09-17T19:47:48+00:00,4,10,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=10 -> +12.0 | age_days=4 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
800009890,87.8,BLOCK,2026-09-04T19:03:03+00:00,2026-09-17T19:47:48+00:00,4,4,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=4 -> +12.0 | age_days=4 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
825775700,87.8,BLOCK,2026-09-04T19:03:03+00:00,2026-09-18T19:06:05+00:00,3,7,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=7 -> +12.0 | age_days=3 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
